CreditScore,Gender,Age,Tenure,EstimatedSalary,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited,Geography_Germany,Geography_Spain,BalanceSalaryRatio,IsHighBalance,BalanceZero,IsHighSalary,ProductUsage,Germany_X_Balance,Germany_X_EstimatedSalary,IsGermanAndLowCreditScore,IsGermanWithoutCrCard,IsGermanAndInactive
619,0,42,2,101348.88,0.0,1,1,1,1,0,0,0.0,0,1,1,1,0.0,0.0,0,0,0
608,0,41,1,112542.58,83807.86,1,1,1,0,0,1,0.7446769036217226,0,0,1,1,0.0,0.0,0,0,0
502,0,42,8,113931.57,159660.8,3,0,0,1,0,0,1.4013745268322026,1,0,1,0,0.0,0.0,0,0,0
699,0,39,1,93826.63,0.0,2,0,0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0
850,0,43,2,79084.1,125510.82,1,1,1,0,0,1,1.5870550464631954,1,0,0,1,0.0,0.0,0,0,0
645,1,44,8,149756.71,113755.78,2,0,0,1,0,1,0.7596038935417319,1,0,1,0,0.0,0.0,0,0,0
822,1,50,7,10062.8,0.0,2,1,1,0,0,0,0.0,0,1,0,2,0.0,0.0,0,0,0
376,0,29,4,119346.88,115046.74,4,0,0,1,1,0,0.9639693974404694,1,0,1,0,115046.74,119346.88,1,1,1
501,1,44,4,74940.5,142051.07,2,1,1,0,0,0,1.8955180443151567,1,0,0,2,0.0,0.0,0,0,0
684,1,27,2,71725.73,134603.88,1,1,1,0,0,0,1.876647055387237,1,0,0,1,0.0,0.0,0,0,0
528,1,31,6,80181.12,102016.72,2,0,0,0,0,0,1.2723284483928388,1,0,0,0,0.0,0.0,0,0,0
497,1,24,3,76390.01,0.0,2,0,0,0,0,1,0.0,0,1,0,0,0.0,0.0,0,0,0
476,0,34,10,26260.98,0.0,2,0,0,0,0,0,0.0,0,1,0,0,0.0,0.0,0,0,0
549,0,25,5,190857.79,0.0,2,0,0,0,0,0,0.0,0,1,1,0,0.0,0.0,0,0,0
635,0,35,7,65951.65,0.0,2,1,1,0,0,1,0.0,0,1,0,2,0.0,0.0,0,0,0
616,1,45,3,64327.26,143129.41,2,1,1,0,1,0,2.2250195329320728,1,0,0,2,143129.41,64327.26,0,0,0
653,1,58,1,5097.67,132602.88,1,0,0,1,1,0,26.01244882465911,1,0,0,0,132602.88,5097.67,0,1,1
549,0,24,9,14406.41,0.0,2,1,1,0,0,1,0.0,0,1,0,2,0.0,0.0,0,0,0
587,1,45,6,158684.81,0.0,1,0,0,0,0,1,0.0,0,1,1,0,0.0,0.0,0,0,0
726,0,24,6,54724.03,0.0,2,1,1,0,0,0,0.0,0,1,0,2,0.0,0.0,0,0,0
